ID	X63	X208	X227	X426	X1557	X1628	X1855	X1856	X2737	X2863	X2949	X3214	X3393	X4501	X4550	X4885	X4897	X5220	X5350	X5468	X5472	X5479	X5561	X5719	X6332	X6365	X6490	X6716	X6732	X6870	X6971	X7062	X7249	X7265	X7271	X7298	X7682	X7691	X7936	X8030	X8191	X8218	X8462	X8537	X8630	X8724	X8735	X8844	X9172	X9225	X9322	X9392	X9415	X9516	X9652	X9823	X10158	X10283	X10314	X10340	X10409	X10739	X10746	X10795	X10842	X10899	X11040	X11057	X11095	X11157	X11193	X11369	X11406	X11440	X11483	X11527	X11615	X11820	X11945	X11948	X12011	X12129	X12135	X12138	X12201	X12204	X12231	X12243	X12270	X12307	X12308	X12378	X12405	X12494	X12505	X12558	X12600	X12601	X12629	X12636	X12637	X12655	X12688	X12689	X12702	X12752	X12755	X12786	X12792	X12793	X12832	X12868	X12869	X12870	X12900	X12928	X12942	X12956	X13035	X13059	X13113	X13121	X13185	X13244	X13263
AAAS	9.406794222	9.077741293	9.236573554	8.834883934	9.052738653	8.844057798	8.92248115	9.505349409	8.946543445	9.018924045	9.407508281	8.449854713	9.069005653	8.318403605	9.277529815	9.181453406	9.072563433	8.956025847	8.629633076	9.178427052	8.915962885	8.849124304	9.313272267	9.056800871	9.590346602	9.152570728	9.277712806	8.919437609	9.089255952	8.627796818	9.209538984	8.857227408	9.336783859	8.955169157	8.456141366	9.28722989	9.096366468	8.633817324	8.529351824	8.825847935	9.057578954	8.720161458	9.100692037	8.761565869	8.996278574	9.026596358	8.71726895	9.06306039	9.064852384	9.224504347	9.291571938	9.184995798	8.787435531	8.593650974	9.544978068	9.094662842	8.327338461	9.118327293	9.100261639	8.972684646	9.145821786	8.994148705	8.969117687	9.102854886	8.838339841	9.050875793	9.217022312	9.086528318	8.791446054	9.117908974	9.315233263	9.394636581	8.941616577	9.042098622	8.859202509	9.157828384	8.416160086	8.963766916	8.92981554	9.625109619	8.729597794	9.024799456	8.76205458	8.914042031	9.259778142	7.795895542	8.84170061	8.932398107	8.782105775	9.044191148	9.620429691	8.651094569	9.066871987	8.85828321	9.597934897	9.14760268	8.562682819	9.282235924	9.367985838	9.16896341	8.780919149	9.576864952	9.505099059	8.979123022	8.995640284	9.043026519	9.275824601	8.732144264	9.002737833	8.92906283	8.862161045	8.881088652	9.004010173	8.813341891	8.361072597	9.22179082	8.742725488	8.122071783	9.144275869	8.757528894	8.78704904	8.936535104	9.102214266	9.19682943	8.896568979
AACS	8.447516077	7.796552967	8.178052133	8.247099627	8.116182267	8.134266192	8.144862314	8.12188894	8.410744515	8.074524758	7.440706506	7.946712552	8.477908539	7.613870859	7.94585422	8.313736903	8.111446322	8.383251836	8.16891204	7.74336845	8.185694489	8.633464979	8.607311317	8.156183328	7.828064951	7.776593242	7.682907507	8.24248481	8.02792506	7.999510872	7.95821749	8.289322927	8.339408612	8.321706273	7.712526339	8.322432729	8.25675597	7.8237384	8.379849462	8.478170266	8.455353955	7.583354671	7.856564378	8.448016313	8.23753611	8.461210095	8.074485728	8.482070493	8.057122958	8.181558082	8.469034479	7.484543893	8.072624233	8.138175606	8.653900243	8.192966457	7.913940521	8.261438494	8.643786812	7.640543901	8.303110936	7.915017869	8.17211789	8.007000357	7.942441738	8.065104372	8.072560279	7.504082069	8.298775647	8.078624838	8.307236396	8.49960425	8.180390745	9.172381464	8.460776519	8.05661074	7.726081023	8.27974898	7.958890597	8.3389274	8.020574332	8.419787614	7.984211208	8.057679058	8.166075448	8.504880519	8.280441268	8.124341504	8.157258541	7.835162656	8.12457938	8.377402461	8.026470284	8.096175781	8.253710406	8.019678653	7.870558564	7.854871632	8.013154638	8.188866454	7.854474009	6.798170477	7.58350056	8.093872191	8.443117187	8.150428529	8.444318563	6.050684276	8.057549331	8.03889974	8.210330281	8.409734569	8.354966002	8.301227569	8.264495344	8.378510838	7.962544082	7.293897555	8.175537755	8.513009617	8.064034465	8.416035644	8.00450909	8.500586936	8.482621105
AAED1	8.201101031	8.872521135	8.85954596	9.245504193	8.317598876	9.036983192	8.428454377	8.407614973	7.989288956	9.248087815	8.282504745	9.070914183	8.491406953	9.157731044	8.612533712	9.166717876	9.148380651	8.84084956	9.787068641	8.592297382	8.53362055	9.062256741	8.398702319	8.516505213	8.886579939	8.429815929	9.391024538	8.585352138	8.936304181	8.741098832	8.460147349	8.602738765	8.17866078	8.936922874	9.272076951	8.466198511	8.512581167	9.439666828	8.915796377	8.820542593	8.473799328	9.333366159	8.487590143	8.328884695	8.556855701	8.567315507	9.461091509	8.571189158	8.13366725	8.834088086	8.40077955	9.170454252	8.722456831	8.67839881	8.359830509	8.57815467	9.208627566	8.597294403	9.597487503	9.229663076	8.686465929	8.608540229	9.115663915	8.372815857	8.617234748	9.036778278	8.871411688	8.634443783	9.087211841	8.573056634	8.545736373	8.849100375	9.37842432	8.056724717	9.002130232	8.032052531	9.766567701	8.547813556	8.734601133	9.607224449	8.74193023	8.569047181	9.207167866	8.630582954	8.346281617	7.639904532	8.753191376	8.794168219	8.878049981	8.704604535	8.867580416	8.86269764	8.785255739	8.856212686	8.825007849	8.635876577	9.235704521	8.832703173	8.447945065	8.532479221	8.718687334	8.706502111	8.850715686	9.017761383	9.158776381	8.489236302	8.507516671	6.309179145	9.071541749	8.449863122	8.573498696	8.81597902	8.385001421	8.914036729	9.028251338	8.891467077	9.162824426	9.079077157	8.776651943	9.132934022	8.943920664	8.573062276	8.720664228	8.560795083	8.820464335
AAGAB	9.214079922	9.532782766	9.609532329	9.309409426	9.185053136	9.321992962	9.611418627	9.111581399	9.18223082	9.232337043	9.705021387	9.60735856	9.56596138	9.620403008	9.580348206	9.09842425	9.471263348	9.479376299	9.207871471	9.369867341	9.554848299	9.661393341	9.437678759	9.538146004	8.999975418	9.433880859	10.19900492	9.110713323	9.520017902	9.222594231	9.325879896	9.717428266	9.803493557	9.408140784	10.24656233	9.543236049	9.448645491	9.463772076	9.415570774	9.536818588	9.527012839	9.584263998	9.615224551	9.482493152	9.81703596	9.643567616	9.44482336	9.611212158	9.482168553	9.381296033	9.620312541	9.753122014	9.930055062	9.680029242	9.628713095	9.515372011	9.300623771	9.566560257	9.612473481	9.233327451	9.752309275	9.337830801	9.364395122	9.300168211	9.475056688	10.22494658	9.65344733	9.295930704	9.555534876	9.650779881	9.40216664	9.77235926	9.513530532	9.233252647	9.307682077	9.566717369	9.372110939	9.346405167	9.227822938	8.805168423	9.411243501	9.465647721	9.6034744	9.36509678	9.62317083	8.638547919	9.666772515	9.516667835	9.557875571	9.401402825	9.008782172	9.333496766	9.630667069	9.497984981	9.375938896	9.484759413	9.392501701	9.333569167	9.514983359	9.595283891	9.190703053	8.88746848	9.207385161	9.480012029	9.407070126	9.751558895	9.310836535	9.45514052	9.47864794	9.411304558	9.632156566	9.554373719	9.254206629	9.330870421	9.329470306	9.535470423	9.205545877	9.691404515	9.502958968	9.884872297	9.766468571	9.332358661	9.729817702	9.253178437	9.87431667
AAK1	8.77851628	8.391979618	8.134473414	8.78527428	7.157989725	8.697425152	8.546083625	8.16780309	8.689040825	8.017532095	7.631529455	8.018317594	8.257140489	8.554780897	8.420629025	8.933552704	9.160627804	8.635725207	9.075043085	7.93776239	8.670480382	8.48824897	8.500896998	8.334208994	8.020438041	8.227154902	7.269354614	8.529176977	8.251791061	8.75692185	8.267108537	7.857889248	8.552873567	8.618167776	9.450735868	8.441182972	8.610815253	8.79698258	8.942237603	8.206369238	8.408099923	8.495791734	8.468359403	8.49599744	8.142780182	8.134926077	8.627892025	8.367655731	8.333094546	8.595159099	8.099563039	8.509341819	8.216085032	8.133032584	8.542607228	8.302616376	8.805258119	7.877338651	9.363243592	8.333450189	7.782518585	8.718459244	8.301622186	8.304767533	8.523031347	8.468862296	8.431499308	8.651413048	8.824570065	8.425509921	8.184420944	7.572663181	8.617978321	7.495302507	8.311098058	8.39694862	9.215568436	8.822084588	9.098775505	7.607736618	8.613308652	8.192182367	8.251983051	8.516988523	8.561873462	8.058261159	8.089583755	8.551980826	8.737681034	8.345374955	8.744208176	8.039843018	8.460593685	8.403733271	7.78347506	8.248343235	8.387447959	8.462473203	8.315945533	8.532479221	8.512961216	7.541710756	8.655701691	8.249045903	8.891676556	8.041921196	8.290157885	8.283472962	8.373768485	8.196910064	8.763309916	8.329786466	8.655796421	8.292228977	8.839701992	8.202671406	8.789908994	8.552551786	8.363932589	8.019996244	7.931130233	8.23440811	8.119786922	8.750411778	8.044417893
AAMDC	7.457708766	7.583493775	7.533655915	7.2994547	7.502888492	7.512461833	7.362745101	7.608856817	7.476037129	7.475874543	7.154378009	7.452297245	7.573042583	7.664304024	7.640236174	7.34222179	7.489523545	7.603428063	7.364098898	7.543900261	7.36215041	7.593603275	7.30933678	7.24435179	8.353778777	7.149994682	7.917572743	7.998668105	7.761393952	7.230228966	7.55793321	7.271627594	7.219682302	7.69588489	7.695745425	7.242531963	7.180276791	7.8056598	7.390261615	7.591933343	7.736652305	7.341212976	7.323837754	7.5742039	7.573575882	7.547939223	7.644808334	7.352578887	7.391213966	7.394019503	7.40761304	7.554012	7.384414094	7.372527575	7.971852839	7.512036652	7.410772469	7.747156542	7.405724044	7.192542297	7.520492136	7.249365239	7.510186725	7.645707201	7.331730298	7.208681182	7.28232931	7.159893461	7.308753596	6.947445314	7.148630334	7.449897259	6.996645869	6.718100692	7.252860572	7.52790956	7.122968691	7.37131531	7.236373971	6.59812438	7.723539806	7.519359338	7.376820383	7.500336342	7.590445872	6.050684276	7.565823722	7.39682122	7.193949201	7.499883951	7.343176522	7.300873142	7.232821236	7.254548731	8.299756324	7.478511221	7.145957889	6.846987715	7.533433752	7.612668596	7.578773632	6.050684276	7.103256074	7.401061814	7.625262593	7.53508847	7.240273749	6.050684276	7.172708255	7.415416744	7.244882186	7.154708209	7.411365977	7.610006985	7.413078994	7.159634658	7.278814799	7.370801747	7.538213599	7.740478815	7.923729623	7.495689267	7.428077136	6.050684276	7.602458034
AAMP	10.55323818	10.42329582	10.60876198	10.35693474	10.64361642	10.66357908	10.50492674	10.57553184	11.00694177	10.63572985	10.87266817	10.2894204	10.93598571	9.817751066	10.52393937	10.66475578	10.50211125	10.63678056	10.31031118	10.85374839	10.1962298	10.60354467	10.6600664	10.8905403	11.15521876	10.76945735	10.81190621	10.30838759	10.86478732	10.18938393	10.90688805	10.34907237	11.15183679	10.4357247	9.597144733	10.8937156	10.68526747	10.01769951	10.43841519	10.17858221	10.61146825	10.12614667	10.52217375	10.73704515	10.76081385	10.8425826	10.10447328	10.77059879	10.66923161	10.7351592	10.7487896	10.63409174	10.42013554	10.30203588	10.64903744	10.85092012	9.826988756	10.9159821	10.06435955	10.58722554	10.81551698	10.61660134	10.57831299	11.02885026	10.57202734	10.31993703	10.74895772	10.93617292	10.15310977	10.87325329	10.85070198	10.92927444	10.50477533	10.81460208	10.57394693	10.54750254	10.06579538	10.53343984	10.16238777	10.50090949	11.01810511	10.85095612	10.32758589	10.48768687	10.76366268	10.05717562	10.90602427	10.48219265	10.55277254	10.44123229	10.1097161	10.61926195	10.49810599	10.60873874	11.08539899	10.73354931	10.59412206	10.81499851	10.98817115	10.96809354	10.41172826	10.38241293	10.84417615	10.61168378	10.11722321	10.61080396	10.87025956	9.579010206	10.12174321	10.93909058	10.53745879	10.62500407	10.51740077	10.58262489	10.05233675	10.93290321	10.36911495	9.460525433	10.87173403	10.91719846	10.62645652	10.62427823	10.50949476	10.40482055	10.94948377
AAR2	9.372606552	9.617255494	9.193997304	9.574518888	9.463140977	9.435468496	9.475886716	9.119070823	9.613021331	9.697243903	9.791808056	9.538830333	9.492707214	9.712694407	9.277529815	9.300841458	9.413850862	9.801123309	9.641093185	9.599721326	9.485440081	9.572446607	9.292587892	9.422140518	9.702688812	9.499158883	9.634506669	9.311989235	9.397264301	9.469923616	9.41600484	9.399681582	9.756085637	9.034443912	9.025123013	9.233750043	9.478032154	9.344708401	9.751225064	9.65612617	9.505372504	9.359270382	9.157641428	9.654553788	9.172891077	9.394945936	9.310046728	9.57165253	9.317282569	9.190938988	9.560846395	9.032316074	9.108921391	9.299836445	9.354257919	9.160095497	9.977853269	9.339450925	9.567033114	9.651609127	9.301049409	9.540893256	9.464425422	9.450589136	9.299007316	8.668856144	9.450929539	10.10061347	9.415989742	9.375562006	9.474943377	9.616948003	9.531502985	9.398411047	9.665851032	9.33009663	9.920527501	9.055004919	9.912932711	10.39493776	10.00561623	9.546807938	9.865859937	9.081040859	9.230569649	10.42064638	9.576074843	9.593504194	9.688832096	9.314645501	9.51415269	9.270804582	9.480189764	9.613823158	8.818852831	9.330560794	9.8285216	9.252041545	9.296413371	9.350573556	9.612263392	8.915454804	9.617956283	9.379203895	9.570581617	9.358606021	9.296353669	9.728067813	9.996523282	9.602059377	9.620172283	9.448429528	9.544645941	9.684005075	9.889473095	9.628195843	9.834462527	9.19051686	9.848552985	10.09530663	9.491045903	9.293872484	9.469153776	9.236838017	9.635616207
AARS	8.296865208	8.397793159	9.142198991	8.449154281	9.221407558	8.607747107	9.152748462	9.184735544	9.390359767	8.883449226	9.173001447	9.407185271	9.086553199	7.928799314	8.840531378	8.857105386	7.919363467	9.046722603	8.305298925	9.627134768	8.116191047	8.30268026	8.879725582	9.193401787	9.472460642	8.800305861	7.942230821	8.951438113	8.900709548	7.563792656	9.17888747	8.887371613	9.147619029	8.767845676	7.838894098	9.472974417	9.418636436	8.290415104	8.502556498	8.632902786	9.467808999	8.135412172	9.103747735	9.076388362	8.887560033	9.116934206	8.093465339	9.230915267	9.2270129	8.877274893	9.130116464	8.817629771	9.411441594	9.232507247	9.404398976	9.268338654	7.610198245	9.828294801	7.729658677	8.612211355	9.041002829	8.857858897	8.546717063	9.306502691	8.949945864	8.838193146	8.806659017	9.082416439	8.145386758	9.265589875	9.533227057	9.62523828	8.693153747	9.788465916	8.648616094	9.274981261	7.168439469	8.535607941	8.147883343	8.103388891	8.386239407	9.46193054	9.873408342	8.599969542	9.074666084	10.27655926	9.282836188	8.666874732	8.778125855	8.54988071	8.475695292	8.655852475	9.132731439	9.126543789	9.241264986	8.950859248	8.453193303	8.85821867	9.447419265	9.082531343	9.404187705	8.706502111	8.839976945	9.354884238	8.237230565	9.539174003	9.608603116	8.84088443	8.487688978	9.589929051	9.494420077	9.131761785	9.473372936	8.772816681	8.399326946	9.682707927	8.13326554	8.360150303	9.551701134	9.094128945	8.950802629	8.985991504	9.399545325	9.035743497	9.569120616
